name,doi,doi_dummy,publication_type,publication_type_group,date_issued,year,license,license_short,license_short_group
Designing a small-scale screw press for blackwater dewatering,https://doi.org/10.3929/ethz-b-000595559,Has DOI,Student Paper,Student Paper,2023-01,2023,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
Experimental Optimization of a Peristaltic Pump Prototype for Pit-Emptying,https://doi.org/10.3929/ethz-b-000662241,Has DOI,Bachelor Thesis,Student Paper,2024-02,2024,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
"Urine Collection Trolley for Informal Markets in Durban, South Africa",https://doi.org/10.3929/ethz-b-000619021,Has DOI,Student Paper,Student Paper,2023-06,2023,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
Expanding horizons: The pedagogical benefits of museum visits for engineering students,https://doi.org/10.3929/ethz-b-000738003,Has DOI,Journal Article,Scientific Article,2025-05-26,2025,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
Detection of Contamination in Biowaste,https://doi.org/10.3929/ethz-b-000650492,Has DOI,Master Thesis,Student Paper,2024-01-05,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"""It is unbearable to breathe here"": air quality, open incineration, and misinformation in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000642070,Has DOI,Journal Article,Scientific Article,2023-10-12,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Psychosocial factors associated with intention to pursue tertiary education among Malawian students: the moderating effect of mental health,https://doi.org/10.3929/ethz-b-000660121,Has DOI,Journal Article,Scientific Article,2024-02-09,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Off-Grid Trash Screen Design for a Fecal Sludge Treatment Plant in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000686944,Has DOI,Bachelor Thesis,Student Paper,2024-06,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
“Where does it go?”: Perceptions and problems of riverine and marine litter amongst South Africa and Malawi’s urban poor,https://doi.org/10.3929/ethz-b-000541554,Has DOI,Journal Article,Scientific Article,2022-03-07,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000658745,Has DOI,Master Thesis,Student Paper,2024-01-08,2024,Creative Commons Attribution-NonCommercial 4.0 International,CC BY-NC 4.0,CC BY 4.0
Inclusion of Malawian Youth in Higher Education,https://doi.org/10.3929/ethz-b-000585695,Has DOI,Report,Other publication,2022-05-18,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Low-cost compost screening technology to improve trash separation,https://doi.org/10.3929/ethz-b-000585004,Has DOI,Bachelor Thesis,Student Paper,2022,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"URINE-DIVERTING DRY TOILET DESIGN, MANIFACTURING, AND PERFORMANCE TESTING OF EARTH CONCRETE",NA,No DOI,Master Thesis,Student Paper,2025,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Effect of fruit and vegetable waste on anaerobic digestion using faecal sludge as primary feedstock,https://doi.org/10.3929/ethz-b-000587768,Has DOI,Master Thesis,Student Paper,2022,2022,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
System Parameter Analysis of a Biogas-Powered Faecal Sludge Pasteuriser,https://doi.org/10.3929/ethz-b-000700639,Has DOI,Bachelor Thesis,Student Paper,2024,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
From failure to fairness: A call for accountability within household biogas development,https://doi.org/10.3929/ethz-b-000678505,Has DOI,Journal Article,Scientific Article,2024-09,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"qechairquality: Air Quality Data at Queen Elizabeth Central Hospital (QECH), Blantyre, Malawi",NA,No DOI,Dataset,Dataset,2023-04-28,2023,No license,No license,No license
Barriers to Waste Management Services Integration for Ethiopian and Eritrean Migrants within the City of Zürich,https://doi.org/10.3929/ethz-b-000637808,Has DOI,Working Paper,Other publication,2023-10,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Seasonal Preferences and Alternatives for Domestic Water Sources: A Prospective Cohort Study in Malawi,NA,No DOI,Journal Article,Scientific Article,2021-06-11,2021,No license,No license,No license
Thermal Analysis and Optimization Potential of Clamp Kilns for Fired Clay Brick Production,https://doi.org/10.3929/ethz-b-000666850,Has DOI,Master Thesis,Student Paper,2023,2023,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
Sensing improved cookstoves to estimate CO2 emission reduction,NA,No DOI,Other Research Data,Other publication,2025-05-19,2025,No license,No license,No license
"The Development of a Recycled Plastic Wheel for Cardboard Collector Trollies - Improving the working conditions of informal cardboard recyclers in Durban, South Africa",https://doi.org/10.3929/ethz-b-000586416,Has DOI,Bachelor Thesis,Student Paper,2022-07-01,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Phosphorus flow analysis for Malawi: Identifying potential sources of renewable phosphorus recovery,https://doi.org/10.3929/ethz-b-000491553,Has DOI,Journal Article,Scientific Article,2021-10,2021,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Consumption: the missing link towards phosphorus security,NA,No DOI,Book Chapter,Scientific Article,2022,2022,No license,No license,No license
"Sludge bomb: The impending sludge emptying and treatment crisis in Blantyre, Malawi",NA,No DOI,Journal Article,Scientific Article,2021-01,2021,No license,No license,No license
"Feasibility of Waste Maize Husk Valorization as a Plastic Plate Replacement in Durban, South Africa",https://doi.org/10.3929/ethz-b-000582371,Has DOI,Bachelor Thesis,Student Paper,2022-10-14,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Exploring Injection Molding for the  Development of a Sensor Casings in Biogas  Monitoring System,https://doi.org/10.3929/ethz-b-000726145,Has DOI,Bachelor Thesis,Student Paper,2025,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"bcsa: Data for source-apportionment of light absorbing carbon in Blantyre, Malawi",NA,No DOI,Dataset,Dataset,2024-03-26,2024,No license,No license,No license
"Air quality monitoring from open waste and incinerator burning in Cape Maclear, Malawi",https://doi.org/10.3929/ethz-b-000731404,Has DOI,Master Thesis,Student Paper,2025-04-14,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Technical Documentation: Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi",NA,No DOI,Other Research Data,Other publication,2024-04-09,2024,No license,No license,No license
"Poverty, politics and plastic: Organic waste sorting in Blantyre's public markets",https://doi.org/10.3929/ethz-b-000492085,Has DOI,Journal Article,Scientific Article,2021-09,2021,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
"Evaluating the potential of Extended Producer Responsibility returns for a small local waste collection company through a brand audit of riverine plastic waste in Durban, South Africa",https://doi.org/10.3929/ethz-b-000725312,Has DOI,Master Thesis,Student Paper,2023,2023,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
"Waste Characterization, Quantification and Composting in Cape Maclear - Malawi",https://doi.org/10.3929/ethz-b-000671026,Has DOI,Master Thesis,Student Paper,2024-05-15,2024,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
Community-wide Waste Management System for Cape Maclear,https://doi.org/10.3929/ethz-b-000695292,Has DOI,Report,Other publication,2024-09-20,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Solar Pasteurisation for Anaerobic Digestion Sludge,https://doi.org/10.3929/ethz-b-000700054,Has DOI,Master Thesis,Student Paper,2024-10-01,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Plastic separation - A review,https://doi.org/10.3929/ethz-b-000732181,Has DOI,Report,Other publication,2025-04-04,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Microcontroller Based Particulate Matter Monitors Utilising the Alphasense OPC-N3,https://doi.org/10.3929/ethz-b-000681057,Has DOI,Bachelor Thesis,Student Paper,2023-12,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Pit emptying subsidy vouchers: a two-phased targeting and structuring experiment in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000513621,Has DOI,Journal Article,Scientific Article,2021,2021,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Solar Water Heater Modeling for Fecal Sludge Pasteurization,NA,No DOI,Model,Other publication,2024-10-30,2024,No license,No license,No license
Developing a turbidity sensor to enhance dewatering of blackwater,https://doi.org/10.3929/ethz-b-000727145,Has DOI,Student Paper,Student Paper,2024-05-28,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
The Cost of Plastics in Compost,https://doi.org/10.3929/ethz-b-000529439,Has DOI,Journal Article,Scientific Article,2021-11,2021,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Evaluating self-reported measures and alternatives to monitor access to drinking water: A case study in Malawi,NA,No DOI,Journal Article,Scientific Article,2021-01-01,2021,No license,No license,No license
Financial and operational sustainability of a gravity-fed rural piped water supply system in Malawi,https://doi.org/10.3929/ethz-b-000501722,Has DOI,Journal Article,Scientific Article,2021-11-01,2021,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Technical Documentation: Low-Cost Glass Crusher for Cape Maclear, Malawi: Design, Maintenance, Operation, and Results",NA,No DOI,Other Research Data,Other publication,2024-05-23,2024,No license,No license,No license
Microbial community function and bacterial pathogen composition in pit latrines in peri-urban Malawi,https://doi.org/10.3929/ethz-b-000651611,Has DOI,Journal Article,Scientific Article,2023,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Absorption Ångström Exponent Values to Identify Light-absorbing Carbonaceous Aerosol Sources in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000706575,Has DOI,Journal Article,Scientific Article,2024-11,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Humanitarian Sanitation Solution,https://doi.org/10.3929/ethz-b-000619207,Has DOI,Student Paper,Student Paper,2023,2023,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
Is Switzerland spending its climate funds wisely?,NA,No DOI,Other Publication,Other publication,2023-09-06,2023,No license,No license,No license
Measuring Effluent Flow in a Biogas Digester: A Practical and Affordable Tipping Bucket Design,https://doi.org/10.3929/ethz-b-000721056,Has DOI,Bachelor Thesis,Student Paper,2025-01,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Bin it - Design of an absorbent hygiene product waste collection model for informal settlements in South Africa,https://doi.org/10.3929/ethz-b-000594375,Has DOI,Student Paper,Student Paper,2023-01,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Energy production of Black Soldier Fly Larvae: Measuring the temperature increase in air induced by Black Soldier Flies throughout their larval stages,https://doi.org/10.3929/ethz-b-000583323,Has DOI,Student Paper,Student Paper,2022-03,2022,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
